"kbn1","kbn2","id","name","comment"
1,0,1,"–ˆT","CREATE_TERMS"
1,0,2,"–ˆŒŽ","CREATE_TERMS"
2,1,1,"ŒŽ—j“ú","CREATE_TERMS_DETAIL(WEEK)"
2,1,2,"‰Î—j“ú","CREATE_TERMS_DETAIL(WEEK)"
2,1,3,"…—j“ú","CREATE_TERMS_DETAIL(WEEK)"
2,1,4,"–Ø—j“ú","CREATE_TERMS_DETAIL(WEEK)"
2,1,5,"‹à—j“ú","CREATE_TERMS_DETAIL(WEEK)"
2,1,6,"“y—j“ú","CREATE_TERMS_DETAIL(WEEK)"
2,1,7,"“ú—j“ú","CREATE_TERMS_DETAIL(WEEK)"
2,2,1,"1“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,2,"2“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,3,"3“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,4,"4“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,5,"5“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,6,"6“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,7,"7“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,8,"8“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,9,"9“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,10,"10“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,11,"11“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,12,"12“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,13,"13“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,14,"14“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,15,"15“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,16,"16“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,17,"17“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,18,"18“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,19,"19“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,20,"20“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,21,"21“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,22,"22“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,23,"23“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,24,"24“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,25,"25“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,26,"26“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,27,"27“ú","CREATE_TERMS_DETAIL(MONTH)"
2,2,28,"28“ú","CREATE_TERMS_DETAIL(MONTH)"
3,1,0,"Žw’è‚È‚µ","ISSUE_DATE"
3,1,1,"ì¬“ú‚Æ“¯‚¶T‚Ì","ISSUE_DATE"
3,1,2,"ì¬“ú‚Ì—‚T‚Ì","ISSUE_DATE"
3,2,0,"Žw’è‚È‚µ","ISSUE_DATE"
3,2,3,"ì¬“ú‚Æ“¯‚¶ŒŽ‚Ì","ISSUE_DATE"
3,2,4,"ì¬“ú‚Ì—‚ŒŽ‚Ì","ISSUE_DATE"
4,1,1,"ŒŽ—j“ú","ISSUE_DATE_DETAIL(WEEK)"
4,1,2,"‰Î—j“ú","ISSUE_DATE_DETAIL(WEEK)"
4,1,3,"…—j“ú","ISSUE_DATE_DETAIL(WEEK)"
4,1,4,"–Ø—j“ú","ISSUE_DATE_DETAIL(WEEK)"
4,1,5,"‹à—j“ú","ISSUE_DATE_DETAIL(WEEK)"
4,1,6,"“y—j“ú","ISSUE_DATE_DETAIL(WEEK)"
4,1,7,"“ú—j“ú","ISSUE_DATE_DETAIL(WEEK)"
4,2,1,"1“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,2,"2“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,3,"3“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,4,"4“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,5,"5“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,6,"6“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,7,"7“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,8,"8“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,9,"9“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,10,"10“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,11,"11“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,12,"12“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,13,"13“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,14,"14“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,15,"15“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,16,"16“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,17,"17“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,18,"18“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,19,"19“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,20,"20“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,21,"21“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,22,"22“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,23,"23“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,24,"24“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,25,"25“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,26,"26“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,27,"27“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,28,"28“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,32,"‘æ1‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,33,"‘æ2‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,34,"‘æ3‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,35,"‘æ4‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,36,"‘æ5‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,37,"‘æ6‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,38,"‘æ7‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,39,"‘æ8‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,40,"‘æ9‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
4,2,41,"‘æ10‰c‹Æ“ú","ISSUE_DATE_DETAIL(MONTH)"
